,Raw Score,Denominator,Score
1,3.0,6.0,0.5
2,3.0,7.0,0.42857142857142855
3,2.0,6.0,0.3333333333333333
4,2.0,5.0,0.4
5,2.0,4.0,0.5
6,2.0,5.0,0.4
7,2.0,6.0,0.3333333333333333
8,3.0,7.0,0.42857142857142855
9,4.0,8.0,0.5
10,3.0,8.0,0.375
11,1.0,6.0,0.16666666666666666
12,4.0,7.0,0.5714285714285714
13,1.0,6.0,0.16666666666666666
14,3.0,5.0,0.6
15,2.0,6.0,0.3333333333333333
16,0.0,6.0,0.0
17,3.0,6.0,0.5
18,2.0,7.0,0.2857142857142857
19,2.0,5.0,0.4
20,3.0,6.0,0.5
21,2.0,9.0,0.2222222222222222
22,1.0,6.0,0.16666666666666666
23,1.0,5.0,0.2
24,2.0,5.0,0.4
25,2.0,5.0,0.4
26,4.0,8.0,0.5
27,3.0,8.0,0.375
28,2.0,5.0,0.4
29,3.0,5.0,0.6
30,2.0,7.0,0.2857142857142857
31,2.0,7.0,0.2857142857142857
32,3.0,7.0,0.42857142857142855
33,3.0,7.0,0.42857142857142855
34,4.0,7.0,0.5714285714285714
35,1.0,7.0,0.14285714285714285
36,1.0,6.0,0.16666666666666666
37,3.0,7.0,0.42857142857142855
38,2.0,5.0,0.4
39,2.0,6.0,0.3333333333333333
40,3.0,6.0,0.5
41,2.0,6.0,0.3333333333333333
42,3.0,6.0,0.5
43,3.0,5.0,0.6
44,2.0,6.0,0.3333333333333333
