,Raw Score,Denominator,Score
1,4.0,9.0,0.4444444444444444
2,2.0,7.0,0.2857142857142857
3,2.0,8.0,0.25
4,3.0,11.0,0.2727272727272727
5,1.0,7.0,0.14285714285714285
6,1.0,8.0,0.125
7,1.0,8.0,0.125
8,1.0,9.0,0.1111111111111111
9,4.0,9.0,0.4444444444444444
10,4.0,10.0,0.4
11,0.0,8.0,0.0
12,2.0,8.0,0.25
13,1.0,11.0,0.09090909090909091
14,2.0,8.0,0.25
15,2.0,8.0,0.25
16,0.0,7.0,0.0
17,2.0,8.0,0.25
18,3.0,10.0,0.3
19,2.0,9.0,0.2222222222222222
20,2.0,9.0,0.2222222222222222
21,4.0,10.0,0.4
22,5.0,8.0,0.625
23,2.0,10.0,0.2
24,3.0,7.0,0.42857142857142855
25,2.0,10.0,0.2
26,2.0,9.0,0.2222222222222222
27,5.0,10.0,0.5
28,2.0,8.0,0.25
29,2.0,7.0,0.2857142857142857
30,3.0,9.0,0.3333333333333333
31,2.0,10.0,0.2
32,0.0,9.0,0.0
33,2.0,10.0,0.2
34,2.0,10.0,0.2
35,2.0,7.0,0.2857142857142857
36,4.0,10.0,0.4
37,3.0,8.0,0.375
38,0.0,10.0,0.0
39,1.0,9.0,0.1111111111111111
40,5.0,9.0,0.5555555555555556
41,1.0,7.0,0.14285714285714285
42,2.0,10.0,0.2
43,2.0,7.0,0.2857142857142857
44,2.0,9.0,0.2222222222222222
