,Raw Score,Denominator,Score
1,22.0,33.0,0.6666666666666666
2,16.0,22.0,0.7272727272727273
3,18.0,27.0,0.6666666666666666
4,16.0,22.0,0.7272727272727273
5,12.0,20.0,0.6
6,12.0,15.0,0.8
7,12.0,26.0,0.46153846153846156
8,12.0,18.0,0.6666666666666666
9,3.0,17.0,0.17647058823529413
10,15.0,23.0,0.6521739130434783
11,9.0,20.0,0.45
12,14.0,22.0,0.6363636363636364
13,16.0,22.0,0.7272727272727273
14,19.0,25.0,0.76
15,15.0,22.0,0.6818181818181818
16,14.0,21.0,0.6666666666666666
17,12.0,16.0,0.75
18,15.0,17.0,0.8823529411764706
19,13.0,20.0,0.65
20,18.0,21.0,0.8571428571428571
21,16.0,22.0,0.7272727272727273
22,17.0,24.0,0.7083333333333334
23,12.0,21.0,0.5714285714285714
24,11.0,20.0,0.55
25,13.0,19.0,0.6842105263157895
26,13.0,24.0,0.5416666666666666
27,17.0,26.0,0.6538461538461539
28,11.0,15.0,0.7333333333333333
29,16.0,19.0,0.8421052631578947
30,12.0,22.0,0.5454545454545454
31,10.0,24.0,0.4166666666666667
32,15.0,19.0,0.7894736842105263
33,14.0,21.0,0.6666666666666666
34,19.0,21.0,0.9047619047619048
35,13.0,24.0,0.5416666666666666
36,12.0,16.0,0.75
37,14.0,23.0,0.6086956521739131
38,14.0,19.0,0.7368421052631579
39,14.0,18.0,0.7777777777777778
40,15.0,22.0,0.6818181818181818
41,9.0,16.0,0.5625
42,12.0,20.0,0.6
43,11.0,21.0,0.5238095238095238
44,14.0,21.0,0.6666666666666666
