,Raw Score,Denominator,Score
1,4.0,9.0,0.4444444444444444
2,3.0,7.0,0.42857142857142855
3,5.0,8.0,0.625
4,4.0,11.0,0.36363636363636365
5,3.0,7.0,0.42857142857142855
6,1.0,8.0,0.125
7,3.0,8.0,0.375
8,4.0,9.0,0.4444444444444444
9,3.0,9.0,0.3333333333333333
10,4.0,10.0,0.4
11,3.0,8.0,0.375
12,5.0,8.0,0.625
13,4.0,11.0,0.36363636363636365
14,5.0,8.0,0.625
15,3.0,8.0,0.375
16,4.0,7.0,0.5714285714285714
17,4.0,8.0,0.5
18,4.0,10.0,0.4
19,1.0,9.0,0.1111111111111111
20,7.0,9.0,0.7777777777777778
21,7.0,10.0,0.7
22,3.0,8.0,0.375
23,4.0,10.0,0.4
24,4.0,7.0,0.5714285714285714
25,5.0,10.0,0.5
26,2.0,9.0,0.2222222222222222
27,3.0,10.0,0.3
28,2.0,8.0,0.25
29,3.0,7.0,0.42857142857142855
30,5.0,9.0,0.5555555555555556
31,5.0,10.0,0.5
32,4.0,9.0,0.4444444444444444
33,5.0,10.0,0.5
34,4.0,10.0,0.4
35,4.0,7.0,0.5714285714285714
36,7.0,10.0,0.7
37,3.0,8.0,0.375
38,2.0,10.0,0.2
39,5.0,9.0,0.5555555555555556
40,2.0,9.0,0.2222222222222222
41,3.0,7.0,0.42857142857142855
42,3.0,10.0,0.3
43,4.0,7.0,0.5714285714285714
44,4.0,9.0,0.4444444444444444
